Name,Handedness,Height,Weight,Avg,HR,Successful Player,BMI,BMI of Player,Height of Player,Weight of Player
Gene Locklear,L,70,165,0.274,9,9.274,23.6724,24,69,158
Bo Diaz,R,71,185,0.255,87,87.255,25.7994,26,69,182
Bump Wills,B,69,172,0.266,36,36.266,25.3972,25,67,166
Brian Denman,R,76,205,0,0,0,24.9507,25,75,198
Pat Putnam,L,72,205,0.255,63,63.255,27.8,28,71,198
Kurt Bevacqua,R,72,180,0.236,27,27.236,24.4097,24,71,174
Bob Fallon,L,75,200,0,0,0,24.9956,25,73,198
Syd O'Brien,R,73,185,0.23,24,24.23,24.4051,24,71,182
Chris Chambliss,L,73,195,0.279,185,185.279,25.7243,26,71,190
Tom Satriano,L,73,185,0.225,21,21.225,24.4051,24,71,182
Jeffrey Leonard,R,74,200,0.266,144,144.266,25.6757,26,73,198
Dal Maxvill,R,71,157,0.217,6,6.217,21.8947,22,69,150
Steve Curry,R,78,217,0,0,0,25.0741,25,77,213
Cesar Tovar,R,69,155,0.278,46,46.278,22.887,23,67,150
Mickey Lolich,B,73,170,0.11,0,0.11,22.4263,22,71,166
Ray Chadwick,B,74,180,0,0,0,23.1081,23,73,174
Jack Heidemann,R,72,175,0.211,9,9.211,23.7317,24,71,174
Rich Rollins,R,70,185,0.269,77,77.269,26.5418,27,69,182
Walt Bond,L,79,228,0.256,41,41.256,25.6824,26,77,221
Merv Rettenmund,R,70,190,0.271,66,66.271,27.2592,27,69,190
Bryan Clutterbuck,R,76,223,0,0,0,27.1414,27,75,221
Byron Browne,R,74,190,0.236,30,30.236,24.3919,24,73,190
Hector Torres,R,72,175,0.216,18,18.216,23.7317,24,71,174
Walt Williams,R,66,165,0.27,33,33.27,26.6288,27,65,158
Jerry Koosman,R,74,205,0.119,2,2.119,26.3176,26,73,198
Steve Lombardozzi,R,72,175,0.233,20,20.233,23.7317,24,71,174
Joe Azcue,R,72,190,0.252,50,50.252,25.7658,26,71,190
Elliott Maddox,R,71,180,0.261,18,18.261,25.1022,25,69,174
Omar Moreno,L,74,180,0.252,37,37.252,23.1081,23,73,174
Julian Javier,R,73,175,0.257,78,78.257,23.0859,23,71,174
Tony Ferreira,L,73,160,0,0,0,21.1071,21,71,158
Elio Chacon,R,69,160,0.232,4,4.232,23.6253,24,67,158
Rusty Torres,B,70,175,0.212,35,35.212,25.1071,25,69,174
John Stearns,R,72,185,0.26,46,46.26,25.0878,25,71,182
Larry Brown,R,70,160,0.233,47,47.233,22.9551,23,69,158
Tommy Dean,R,72,165,0.18,4,4.18,22.3756,22,71,158
Bryan Oelkers,L,75,192,0,0,0,23.9957,24,73,190
Kevin Bearse,L,74,195,0,0,0,25.0338,25,73,190
Marty Martinez,B,72,170,0.243,0,0.243,23.0536,23,71,166
Bruce Boisclair,L,74,185,0.263,10,10.263,23.75,24,73,182
Ken Singleton,B,76,210,0.282,246,246.282,25.5592,26,75,205
Frank White,R,71,165,0.255,160,160.255,23.0103,23,69,158
Jim Fairey,L,70,190,0.235,7,7.235,27.2592,27,69,190
Jose Roman,R,72,175,0,0,0,23.7317,24,71,174
Tom Brookens,R,70,165,0.246,71,71.246,23.6724,24,69,158
Gary Thomasson,L,73,180,0.249,61,61.249,23.7455,24,71,174
Mike Trujillo,R,73,180,0,0,0,23.7455,24,71,174
Albert Williams,R,76,190,0,0,0,23.125,23,75,190
Oswaldo Peraza,R,76,172,0,0,0,20.9342,21,75,166
Otto Velez,R,72,170,0.251,78,78.251,23.0536,23,71,166
Tony Scott,B,72,164,0.249,17,17.249,22.24,22,71,158
Ray Oyler,R,71,165,0.175,15,15.175,23.0103,23,69,158
Barry Cort,R,77,210,0,0,0,24.8996,25,75,205
Floyd Robinson,L,69,175,0.283,67,67.283,25.8402,26,67,174
Steve Jeltz,B,71,180,0.21,5,5.21,25.1022,25,69,174
Lou Brock,L,71,170,0.293,149,149.293,23.7076,24,69,166
Bill Wilkinson,R,70,160,0,0,0,22.9551,23,69,158
Joe Lovitto,B,72,185,0.216,4,4.216,25.0878,25,71,182
Mike Loynd,R,76,210,0,0,0,25.5592,26,75,205
Wayne Comer,R,70,175,0.229,16,16.229,25.1071,25,69,174
Dave Collins,B,71,175,0.272,32,32.272,24.4049,24,69,174
Ed Spiezio,R,71,180,0.238,39,39.238,25.1022,25,69,174
Rico Petrocelli,R,72,175,0.251,210,210.251,23.7317,24,71,174
Johnny Lewis,L,73,189,0.227,22,22.227,24.9328,25,71,182
Dick Simpson,R,76,176,0.207,15,15.207,21.4211,21,75,174
Ken Boswell,L,72,170,0.248,31,31.248,23.0536,23,71,166
Ken McMullen,R,75,190,0.248,156,156.248,23.7458,24,73,190
Randy Scarbery,B,73,185,0,0,0,24.4051,24,71,182
Steve Swisher,R,74,205,0.216,20,20.216,26.3176,26,73,198
Ben Callahan,R,79,230,0,0,0,25.9077,26,77,229
Dick Howser,R,68,155,0.248,16,16.248,23.5651,24,67,150
Manny Castillo,B,69,160,0.242,3,3.242,23.6253,24,67,158
Mike Ramsey,B,73,170,0.24,2,2.24,22.4263,22,71,166
Willie Crawford,L,73,197,0.268,86,86.268,25.9882,26,71,190
Bobby Cuellar,R,71,188,0,0,0,26.2178,26,69,182
Willie Norwood,R,72,185,0.242,18,18.242,25.0878,25,71,182
Mike Jones,L,78,215,0,0,0,24.843,25,77,213
Jeff Stone,L,72,175,0.277,11,11.277,23.7317,24,71,174
Ramon Manon,R,72,150,0,0,0,20.3414,20,71,142
Joe Lahoud,L,73,198,0.223,65,65.223,26.1201,26,71,198
Tim Flannery,L,71,175,0.255,9,9.255,24.4049,24,69,174
Dave McKay,B,73,195,0.229,21,21.229,25.7243,26,71,190
John Trautwein,R,75,205,0,0,0,25.6204,26,73,198
Andy Replogle,R,77,205,0,0,0,24.3068,24,75,198
Zach Crouch,L,75,180,0,0,0,22.496,22,73,174
Benny Ayala,R,73,185,0.251,38,38.251,24.4051,24,71,182
Ron Romanick,R,76,195,0,0,0,23.7336,24,75,190
Greg Gross,L,70,160,0.287,7,7.287,22.9551,23,69,158
Bruce Tanner,L,75,220,0,0,0,27.4951,27,73,213
Sal Butera,R,72,190,0.227,8,8.227,25.7658,26,71,190
Jack Brohamer,L,70,165,0.245,30,30.245,23.6724,24,69,158
Von Joshua,L,70,170,0.273,30,30.273,24.3898,24,69,166
Eddie Milner,L,71,173,0.253,42,42.253,24.126,24,69,166
Johnny Jeter,R,73,180,0.244,18,18.244,23.7455,24,71,174
Angel Salazar,R,72,180,0.212,2,2.212,24.4097,24,71,174
Tony Oliva,L,73,175,0.304,220,220.304,23.0859,23,71,174
Cito Gaston,R,75,190,0.256,91,91.256,23.7458,24,73,190
Cookie Rojas,R,70,160,0.263,54,54.263,22.9551,23,69,158
Rich Morales,R,71,170,0.195,6,6.195,23.7076,24,69,166
Dave Ford,R,76,190,0,0,0,23.125,23,75,190
Dan Ford,R,73,185,0.27,121,121.27,24.4051,24,71,182
Barry Raziano,B,70,175,0,0,0,25.1071,25,69,174
Darryl Motley,R,69,196,0.243,44,44.243,28.941,29,67,190
Ozzie Virgil,R,73,180,0.243,98,98.243,23.7455,24,71,174
Johnny Oates,L,71,188,0.25,14,14.25,26.2178,26,69,182
Pat Underwood,L,72,175,0,0,0,23.7317,24,71,174
Mike Phillips,L,72,170,0.24,11,11.24,23.0536,23,71,166
Ron Santo,R,72,190,0.277,342,342.277,25.7658,26,71,190
Jay Johnstone,L,73,175,0.267,102,102.267,23.0859,23,71,174
Jim Ray Hart,R,71,185,0.278,170,170.278,25.7994,26,69,182
Marc Hill,R,75,205,0.223,34,34.223,25.6204,26,73,198
Joel McKeon,L,72,185,0,0,0,25.0878,25,71,182
Danny Fife,R,75,175,0,0,0,21.8711,22,73,174
Chico Salmon,R,70,160,0.249,31,31.249,22.9551,23,69,158
Joe Niekro,R,73,185,0.156,1,1.156,24.4051,24,71,182
Andy Etchebarren,R,73,190,0.235,49,49.235,25.0647,25,71,190
Ken Berry,R,72,175,0.255,58,58.255,23.7317,24,71,174
Dave Concepcion,R,74,155,0.267,101,101.267,19.8986,20,73,150
Junior Moore,R,71,185,0.264,7,7.264,25.7994,26,69,182
Mike Richardt,R,72,170,0.226,4,4.226,23.0536,23,71,166
Chris Brown,R,72,185,0.269,38,38.269,25.0878,25,71,182
Al Bumbry,L,68,170,0.281,54,54.281,25.8456,26,67,166
Al Downing,R,71,175,0.127,2,2.127,24.4049,24,69,174
Bob Didier,B,72,190,0.229,0,0.229,25.7658,26,71,190
Jake Gibbs,L,72,180,0.233,25,25.233,24.4097,24,71,174
Garry Hancock,L,72,175,0.247,12,12.247,23.7317,24,71,174
Ed Kranepool,L,75,205,0.261,118,118.261,25.6204,26,73,198
Rick Rhoden,R,75,195,0.238,9,9.238,24.3707,24,73,190
Denny McLain,R,73,185,0.133,1,1.133,24.4051,24,71,182
Chuck Hiller,L,71,170,0.243,20,20.243,23.7076,24,69,166
Jorge Orta,L,70,170,0.278,130,130.278,24.3898,24,69,166
Dave Cash,R,71,170,0.283,21,21.283,23.7076,24,69,166
Bucky Dent,R,69,170,0.247,40,40.247,25.1019,25,67,166
Andy Beene,R,75,205,0,0,0,25.6204,26,73,198
Bruce Robbins,L,73,190,0,0,0,25.0647,25,71,190
Tony Gonzalez,L,69,170,0.286,103,103.286,25.1019,25,67,166
Leon Hooten,R,71,180,0,0,0,25.1022,25,69,174
Larry Haney,R,74,195,0.215,12,12.215,25.0338,25,73,190
Billy Conigliaro,R,72,180,0.256,40,40.256,24.4097,24,71,174
Gary Roenicke,R,75,205,0.247,121,121.247,25.6204,26,73,198
Don Lock,R,74,195,0.238,122,122.238,25.0338,25,73,190
Billy Cowan,R,72,170,0.236,40,40.236,23.0536,23,71,166
Billy Smith,B,74,185,0.23,17,17.23,23.75,24,73,182
Allan Ramirez,R,70,180,0,0,0,25.8245,26,69,174
Tony Perez,R,74,175,0.279,379,379.279,22.4662,22,73,174
Chuck Schilling,R,70,160,0.239,23,23.239,22.9551,23,69,158
Hal McRae,R,71,180,0.29,191,191.29,25.1022,25,69,174
Dave Roberts,R,75,215,0.239,49,49.239,26.8702,27,73,213
Brian Allard,R,73,175,0,0,0,23.0859,23,71,174
Jim Lefebvre,B,72,180,0.251,74,74.251,24.4097,24,71,174
Fernando Arroyo,R,74,180,0,0,0,23.1081,23,73,174
Gary Beare,R,76,205,0,0,0,24.9507,25,75,198
Charlie Spikes,R,75,215,0.246,65,65.246,26.8702,27,73,213
Brian Dubois,L,70,165,0,0,0,23.6724,24,69,158
Steve Whitaker,L,72,180,0.23,24,24.23,24.4097,24,71,174
Manny Jimenez,L,73,185,0.272,26,26.272,24.4051,24,71,182
Chris Batton,R,76,195,0,0,0,23.7336,24,75,190
Duffy Dyer,R,72,187,0.221,30,30.221,25.359,25,71,182
Ken Henderson,B,74,180,0.257,122,122.257,23.1081,23,73,174
Vance Lovelace,L,77,205,0,0,0,24.3068,24,75,198
Greg Thayer,R,71,182,0,0,0,25.3811,25,69,182
Vern Fuller,R,73,170,0.232,14,14.232,22.4263,22,71,166
Paul Hartzell,R,77,200,0,0,0,23.7139,24,75,198
Wayne Gross,L,74,210,0.233,121,121.233,26.9595,27,73,205
Mike Champion,R,72,185,0.229,2,2.229,25.0878,25,71,182
Ralph Botting,L,72,195,0,0,0,26.4439,26,71,190
Paul Casanova,R,76,180,0.225,50,50.225,21.9079,22,75,174
Steve Rogers,R,74,175,0.138,0,0.138,22.4662,22,73,174
Keith Creel,R,74,180,0,0,0,23.1081,23,73,174
Terry Crowley,L,72,180,0.25,42,42.25,24.4097,24,71,174
Horace Clarke,B,69,170,0.256,27,27.256,25.1019,25,67,166
Lou Clinton,R,73,185,0.247,65,65.247,24.4051,24,71,182
Larry Cox,R,70,178,0.221,12,12.221,25.5376,26,69,174
Nate Colbert,R,74,190,0.243,173,173.243,24.3919,24,73,190
Phil Roof,R,74,190,0.215,43,43.215,24.3919,24,73,190
Chuck Hinton,R,73,180,0.264,113,113.264,23.7455,24,71,174
Tim Cullen,R,73,185,0.22,9,9.22,24.4051,24,71,182
Tim Harkness,L,74,182,0.235,14,14.235,23.3649,23,73,182
Rick Bosetti,R,71,185,0.25,17,17.25,25.7994,26,69,182
Ron Pruitt,R,72,185,0.269,12,12.269,25.0878,25,71,182
George Foster,R,73,180,0.274,348,348.274,23.7455,24,71,174
Jerry White,B,70,164,0.253,21,21.253,23.529,24,69,158
Angel Mangual,R,70,178,0.245,22,22.245,25.5376,26,69,174
Ken Gerhart,R,72,190,0.221,24,24.221,25.7658,26,71,190
Mike Hershberger,R,70,175,0.252,26,26.252,25.1071,25,69,174
Jim French,L,68,180,0.196,5,5.196,27.3659,27,67,174
Dave Roberts,L,75,195,0.194,7,7.194,24.3707,24,73,190
Jim Mason,L,74,185,0.203,12,12.203,23.75,24,73,182
Mike Smith,R,75,180,0,0,0,22.496,22,73,174
Willie Smith,L,72,182,0.248,46,46.248,24.6809,25,71,182
T.R. Bryden,R,76,190,0,0,0,23.125,23,75,190
Jose Arcia,R,75,170,0.215,1,1.215,21.2462,21,73,166
Leon Durham,L,73,185,0.277,147,147.277,24.4051,24,71,182
Tom Makowski,R,71,185,0,0,0,25.7994,26,69,182
Paul Householder,B,72,180,0.236,29,29.236,24.4097,24,71,174
Aurelio Rodriguez,R,70,180,0.237,124,124.237,25.8245,26,69,174
Jimmy Stewart,B,72,165,0.237,8,8.237,22.3756,22,71,158
Dick Phillips,L,72,180,0.229,12,12.229,24.4097,24,71,174
Andres Thomas,R,73,170,0.234,42,42.234,22.4263,22,71,166
Ed Crosby,L,74,175,0.22,0,0.22,22.4662,22,73,174
Mike de la Hoz,R,71,175,0.251,25,25.251,24.4049,24,69,174
Frank Taveras,R,72,155,0.255,2,2.255,21.0195,21,71,150
Joe Nossek,R,72,178,0.228,3,3.228,24.1385,24,71,174
Larry Stahl,L,72,175,0.232,36,36.232,23.7317,24,71,174
Jose Cruz,L,72,170,0.284,165,165.284,23.0536,23,71,166
Don Mason,L,71,160,0.205,3,3.205,22.313,22,69,158
Bill Robinson,R,74,189,0.258,166,166.258,24.2635,24,73,182
Jim Umbarger,L,78,200,0,0,0,23.1098,23,77,198
Sal Bando,R,72,195,0.254,242,242.254,26.4439,26,71,190
George Mitterwald,R,74,195,0.236,76,76.236,25.0338,25,73,190
Mike Darr,R,76,190,0,0,0,23.125,23,75,190
Craig Robinson,R,70,165,0.219,0,0.219,23.6724,24,69,158
Bob Tillman,R,76,205,0.232,79,79.232,24.9507,25,75,198
Curt Wardle,L,77,220,0,0,0,26.0853,26,75,213
Pat Corrales,R,72,180,0.216,4,4.216,24.4097,24,71,174
Mike Tyson,R,69,170,0.241,27,27.241,25.1019,25,67,166
Rafael Landestoy,B,70,165,0.237,4,4.237,23.6724,24,69,158
Duane Josephson,R,72,190,0.258,23,23.258,25.7658,26,71,190
Duane Walker,L,72,185,0.229,24,24.229,25.0878,25,71,182
Glenn Hubbard,R,69,150,0.244,70,70.244,22.1487,22,67,142
Roger Freed,R,72,190,0.245,22,22.245,25.7658,26,71,190
George Hendrick,R,75,195,0.278,267,267.278,24.3707,24,73,190
Rod Carew,L,72,170,0.328,92,92.328,23.0536,23,71,166
Bob Davis,R,72,180,0.197,6,6.197,24.4097,24,71,174
Toby Harrah,R,72,175,0.264,195,195.264,23.7317,24,71,174
Rick Manning,L,73,180,0.257,56,56.257,23.7455,24,71,174
Israel Sanchez,L,69,170,0,0,0,25.1019,25,67,166
Steve Burke,B,74,200,0,0,0,25.6757,26,73,198
Gary Matthews,R,74,185,0.281,234,234.281,23.75,24,73,182
Cesar Geronimo,L,72,165,0.258,51,51.258,22.3756,22,71,158
Billy Bryan,L,76,200,0.216,41,41.216,24.3421,24,75,198
Terry Taylor,R,73,180,0,0,0,23.7455,24,71,174
Terry Whitfield,L,73,197,0.281,33,33.281,25.9882,26,71,190
Mario Mendoza,R,71,170,0.215,4,4.215,23.7076,24,69,166
Fred Lynn,L,73,185,0.283,306,306.283,24.4051,24,71,182
Larry Hisle,R,74,193,0.273,166,166.273,24.777,25,73,190
Graig Nettles,L,72,180,0.248,390,390.248,24.4097,24,71,174
Randy Nosek,R,76,215,0,0,0,26.1678,26,75,213
Dave Engle,R,75,210,0.262,31,31.262,26.2453,26,73,205
Narciso Elvira,L,70,160,0,0,0,22.9551,23,69,158
Mike Easler,L,72,190,0.293,118,118.293,25.7658,26,71,190
Mark Smith,R,74,215,0,0,0,27.6014,28,73,213
Paul Mitchell,R,73,195,0,0,0,25.7243,26,71,190
Rick Sweet,B,73,200,0.234,6,6.234,26.3839,26,71,198
Thurman Munson,R,71,190,0.292,113,113.292,26.4967,26,69,190
Rick Monday,L,75,193,0.264,241,241.264,24.1207,24,73,190
Mike Sadek,R,69,165,0.226,5,5.226,24.3636,24,67,158
Mark Belanger,R,73,170,0.228,20,20.228,22.4263,22,71,166
Ron Hunt,R,72,186,0.273,39,39.273,25.2234,25,71,182
Joe Keough,L,72,185,0.246,9,9.246,25.0878,25,71,182
Butch Edge,R,75,203,0,0,0,25.3705,25,73,198
Vic Correll,R,70,185,0.229,29,29.229,26.5418,27,69,182
Jackie Hernandez,R,71,165,0.208,12,12.208,23.0103,23,69,158
Tony Solaita,L,72,210,0.255,50,50.255,28.478,28,71,205
U L Washington,B,71,175,0.251,27,27.251,24.4049,24,69,174
Gary Mielke,R,75,185,0,0,0,23.1209,23,73,182
Rick Henninger,R,78,225,0,0,0,25.9985,26,77,221
Joe Foy,R,72,215,0.248,58,58.248,29.1561,29,71,213
Ed Goodson,L,75,180,0.26,30,30.26,22.496,22,73,174
Mark Brown,B,74,190,0,0,0,24.3919,24,73,190
Mickey Klutts,R,71,170,0.241,14,14.241,23.7076,24,69,166
Leroy Stanton,R,73,195,0.244,77,77.244,25.7243,26,71,190
Rafael Vasquez,R,72,160,0,0,0,21.6975,22,71,158
Len Whitehouse,L,71,175,0,0,0,24.4049,24,69,174
Danny Ainge,R,76,175,0.22,2,2.22,21.2993,21,75,174
Adolfo Phillips,R,73,175,0.247,59,59.247,23.0859,23,71,174
Marv Breeding,R,72,175,0.25,7,7.25,23.7317,24,71,174
Steve Adkins,R,78,210,0,0,0,24.2653,24,77,205
Dick McAuliffe,L,71,176,0.247,197,197.247,24.5443,25,69,174
Joe Horlen,R,72,170,0.134,0,0.134,23.0536,23,71,166
Glenn Burke,R,72,195,0.237,2,2.237,26.4439,26,71,190
Tony Mack,R,70,177,0,0,0,25.3941,25,69,174
Terry Humphrey,R,75,185,0.211,6,6.211,23.1209,23,73,182
Bill Moran,R,76,210,0,0,0,25.5592,26,75,205
Enzo Hernandez,R,68,155,0.224,2,2.224,23.5651,24,67,150
Cesar Gutierrez,R,69,155,0.235,0,0.235,22.887,23,67,150
Coco Laboy,R,70,165,0.233,28,28.233,23.6724,24,69,158
Ted Kubiak,B,72,175,0.231,13,13.231,23.7317,24,71,174
Jim Morrison,R,71,175,0.26,112,112.26,24.4049,24,69,174
Tom Gilles,R,73,185,0,0,0,24.4051,24,71,182
Bobby Knoop,R,73,170,0.236,56,56.236,22.4263,22,71,166
Bobby Brown,B,74,190,0.245,26,26.245,24.3919,24,73,190
Tom Hutton,L,71,180,0.248,22,22.248,25.1022,25,69,174
Ron Hodges,L,73,185,0.24,19,19.24,24.4051,24,71,182
Rich Chiles,L,71,170,0.254,6,6.254,23.7076,24,69,166
Tom Paciorek,R,76,215,0.282,86,86.282,26.1678,26,75,213
Gary Woods,R,74,185,0.243,13,13.243,23.75,24,73,182
Bob Montgomery,R,73,195,0.258,23,23.258,25.7243,26,71,190
Jeff Burroughs,R,73,200,0.261,240,240.261,26.3839,26,71,198
Rusty Staub,L,74,190,0.279,292,292.279,24.3919,24,73,190
Jim Norris,L,70,175,0.264,7,7.264,25.1071,25,69,174
Oscar Gamble,L,71,160,0.265,200,200.265,22.313,22,69,158
Bob Kammeyer,R,76,210,0,0,0,25.5592,26,75,205
George Vukovich,L,72,198,0.268,27,27.268,26.8507,27,71,198
Joe Pactwa,L,71,185,0,0,0,25.7994,26,69,182
Craig Reynolds,L,73,175,0.256,42,42.256,23.0859,23,71,174
Paul Blair,R,72,168,0.25,134,134.25,22.7824,23,71,166
Al Cowens,R,73,197,0.27,108,108.27,25.9882,26,71,190
Al Oliver,L,72,195,0.303,219,219.303,26.4439,26,71,190
Dave Hilton,R,71,191,0.213,6,6.213,26.6362,27,69,190
Luis Alvarado,R,69,162,0.214,5,5.214,23.9206,24,67,158
Larry Parrish,R,75,190,0.263,256,256.263,23.7458,24,73,190
Woodie Fryman,R,75,197,0.138,2,2.138,24.6206,25,73,190
Bob Randall,R,74,175,0.257,1,1.257,22.4662,22,73,174
Jim Pankovits,R,70,170,0.25,9,9.25,24.3898,24,69,166
Sherman Corbett,L,76,205,0,0,0,24.9507,25,75,198
Carmen Fanzone,R,72,200,0.224,20,20.224,27.1219,27,71,198
Gary Allenson,R,71,185,0.221,19,19.221,25.7994,26,69,182
Milt May,L,72,190,0.263,77,77.263,25.7658,26,71,190
Mike Vail,R,73,180,0.279,34,34.279,23.7455,24,71,174
Nick Esasky,R,75,200,0.25,122,122.25,24.9956,25,73,198
Jim Nettles,L,72,186,0.22,16,16.22,25.2234,25,71,182
Lafayette Currence,B,71,175,0,0,0,24.4049,24,69,174
Chris Cannizzaro,R,72,190,0.235,18,18.235,25.7658,26,71,190
Larry Biittner,L,74,205,0.273,29,29.273,26.3176,26,73,198
John Pawlowski,R,74,175,0,0,0,22.4662,22,73,174
Mel Stottlemyre,R,73,178,0.16,7,7.16,23.4817,23,71,174
Jack Hardy,R,74,175,0,0,0,22.4662,22,73,174
Ron Musselman,R,74,185,0,0,0,23.75,24,73,182
Roy Smalley,B,73,185,0.257,163,163.257,24.4051,24,71,182
Tony Chevez,R,71,177,0,0,0,24.6838,25,69,174
Andy Messersmith,R,73,200,0.17,5,5.17,26.3839,26,71,198
Richie Zisk,R,73,200,0.287,207,207.287,26.3839,26,71,198
Dave Chalk,R,70,175,0.252,15,15.252,25.1071,25,69,174
Don Baylor,R,73,190,0.26,338,338.26,25.0647,25,71,190
John Vukovich,R,73,187,0.161,6,6.161,24.669,25,71,182
Danny Thompson,R,72,183,0.248,15,15.248,24.8166,25,71,182
Joe Simpson,L,75,175,0.242,9,9.242,21.8711,22,73,174
Bill Fahey,L,72,200,0.241,7,7.241,27.1219,27,71,198
Doug Camilli,R,71,195,0.199,18,18.199,27.194,27,69,190
Bernie Allen,L,72,175,0.239,73,73.239,23.7317,24,71,174
Bruce Bochy,R,75,205,0.239,26,26.239,25.6204,26,73,198
Gary Ignasiak,R,71,185,0,0,0,25.7994,26,69,182
Claudell Washington,L,72,190,0.278,164,164.278,25.7658,26,71,190
John Donaldson,L,71,160,0.238,4,4.238,22.313,22,69,158
Mike Smithson,L,80,215,0,0,0,23.6164,24,79,213
John Mayberry,L,75,215,0.253,255,255.253,26.8702,27,73,213
Ken Reitz,R,72,180,0.26,68,68.26,24.4097,24,71,174
Amos Otis,R,71,165,0.277,193,193.277,23.0103,23,69,158
Gene Alley,R,70,160,0.254,55,55.254,22.9551,23,69,158
Ted Sizemore,R,70,165,0.262,23,23.262,23.6724,24,69,158
Dan Briggs,L,72,180,0.195,12,12.195,24.4097,24,71,174
Joe Skalski,R,75,190,0,0,0,23.7458,24,73,190
Doug Flynn,R,71,165,0.238,7,7.238,23.0103,23,69,158
Bert Bradley,B,73,190,0,0,0,25.0647,25,71,190
Ken Holtzman,R,74,175,0.163,2,2.163,22.4662,22,73,174
Pete Ward,L,73,185,0.254,98,98.254,24.4051,24,71,182
